일별가격,월별가격,공유오피스명,주소 ,경도,위도,구,구별사업체개수,좌석타입,재고,최소수용가능인원,최대수용가능인원,공공자전거_최단거리,대학교_최단거리,버스정류장_최단거리,스타벅스_최단거리,대형마트_최단거리,버스_개수,대학교_개수,스타벅스_개수,지하철_개수,대형마트_개수
12000,130000,크리에이터스 데스크,서울특별시 동대문구 안암로 86-1 ,127.0305814,37.58351107,동대문구,"31,878",고정석/자유석,37,1,37,6790.782691,0.342309983,0.05364283,0.175085177,1.090376568,116,1,4,6,0
22000,385000,마이워크스페이스 3호점 -지정석,서울특별시 서초구 서초동 1328-3,127.0281605,37.49563981,서초구 ,"46,540",고정석 ,12,1,8,6785.345341,1.378414265,0.019572729,0.045671199,1.240082267,131,0,23,4,0
,154000,ORGN,서울특별시 성동구 성수동1가 656-821,127.0460032,37.54839519,성동구 ,"27,868",고정석 ,6,1,6,6789.387328,0.459830479,0.066043756,0.368167798,0.880004019,81,2,3,3,1
,165000,비즈센트럴 -1인고정석,서울특별시 영등포구 영신로38길 18,126.9031513,37.52069415,영등포구,"42,589",고정석 ,12,1,1,6780.946113,3.304784949,0.039862934,0.239451559,0.239451559,143,0,12,7,8
16500,165000,서촌 약수터 1인 작업 테이블,서울특별시 종로구 자하문로  53-1 ,126.9708768,37.58074595,종로구 ,"823,385",고정석/자유석,5,1,4,6787.783266,0.63167364,0.034071827,0.308184288,0.949223,71,1,9,2,1
,275000,비욘드스페이스 망우점,서울특별시 중랑구 봉우재로 232,127.0986126,37.59510096,중랑구 ,"28,024",고정석/자유석,15,1,4,6794.716408,0.608494034,0.065470671,0.732024523,0.563895675,93,1,2,2,4
,750000,슈가맨워크 가산디지털점 3인실,서울특별시 금천구 서부샛길 606,126.8765153,37.47935571,금천구 ,"32,472",고정석 ,1,1,3,6777.189925,1.722936092,0.241978592,0.472357738,0.902906004,72,0,5,3,2
,400000,강남선릉  이랜서 코워킹스페이스,서울특별시 강남구 테헤란로 410,127.0507295,37.50455653,강남구 ,"71,373",고정석 ,153,1,153,6786.954853,2.346464789,0.01429707,0.065934455,0.122251248,85,0,17,6,5
22000,275000,문화정원 코워킹스페이스,서울특별시 금천구 가산로 61,126.8960098,37.47180337,금천구 ,"32,472",고정석 ,35,1,35,6777.653902,3.690819532,0.013401151,0.194479023,0.087209367,151,0,8,1,6
,300000,구로디지털밸리 고정석,서울특별시 구로구 디지털로33길 48,126.8945047,37.48725844,구로구 ,"38,553",고정석 ,10,1,6,6778.516888,3.115060239,0.155093455,0.152683522,0.421640394,160,0,7,4,2
,330000,넥스트데이 서초 공유오피스 자유석,서울특별시 서초구 반포대로28길 94,127.0133497,37.49194266,서초구 ,"46,540",자유석 ,1,1,1,6784.420079,0.339662354,0.052710123,0.10237924,0.60113947,118,1,12,5,2
,275000,[동일]가산디지털단지 1인 지정석,서울특별시 금천구 가산디지털1로 128,126.8836949,37.47723689,금천구 ,"32,472",고정석 ,10,1,10,6777.400844,2.366486222,0.05781247,0,0.173981996,127,0,7,4,9
,275000,카페24창업센터 가산점 공동실,서울특별시 금천구 서부샛길 606,126.8765153,37.47935571,금천구 ,"32,472",고정석 ,30,1,1,6777.189925,1.722936092,0.241978592,0.472357738,0.902906004,72,0,5,3,2
9900,99000,하우투비즈센터(여의도),서울특별시 영등포구 국회대로72길 4,126.9199155,37.530332,영등포구,"42,589",자유석 ,40,1,5,6782.321428,1.580854176,0.087208588,0.035823554,0.747383381,37,0,11,5,2
,220000,[첫달반값] 도마랑,서울특별시 영등포구 당산로54길 26,126.9056106,37.53388087,영등포구,"42,589",고정석 ,12,1,2,6781.859308,2.598288975,0.156218659,0.192846259,0.417823611,68,0,5,3,1
,333000,슈퍼에그 코워킹 무제한회원,서울특별시 종로구 삼봉로 57,126.9804706,37.57255595,종로구 ,"823,385",고정석 ,35,1,15,6787.74259,1.296081091,0.151067855,0.064252388,0.485923053,146,0,50,8,14
,187000,CTC 여의도,서울특별시 영등포구 63로 40,126.9391364,37.51963567,영등포구,"42,589",고정석 ,4,1,2,6782.583972,1.834027283,0.159398392,0.461687149,1.467814148,65,0,4,4,0
,88000,한피스 공릉점 1인석,서울특별시 노원구 동일로184길 35,127.0754973,37.62443651,노원구 ,"26,616",고정석 ,4,1,1,6795.395656,0.355724378,0.153396574,0.28521529,0.746408605,140,2,3,4,1
,187000,비즈웨이마포 코워킹스페이스,서울특별시 마포구 마포대로 49,126.9468939,37.54086752,마포구 ,"37,232",자유석 ,5,1,3,6784.235102,0.174171091,0.025354018,0.063610693,0.727171457,116,1,7,6,1
,297000,카페24창업센터 성수점 공동실,서울특별시 성동구 아차산로7길 21,127.0547967,37.54720154,성동구 ,"27,868",고정석 ,1,1,1,6789.732152,0.961657868,0.017853841,0.358429685,0.508309412,69,1,3,2,1
,220000,사당 트그 공유오피스-고정석,서울특별시 관악구 낙성대역4길 3,126.9616447,37.47548488,관악구 ,"26,105",고정석 ,5,1,5,6780.977548,1.187505714,0.10923299,0.156180452,1.124072058,95,0,2,1,0
,190000,힙덱 HipDeck,서울특별시 성동구 마조로 33,127.0410935,37.56065132,성동구 ,"27,868",자유석 ,80,1,80,6789.896934,0.67297936,0.018893486,0.259819343,0.258608469,119,2,3,8,4
,600000,[GARAGE강남점]1인독립오피스,서울특별시 강남구 테헤란로 128,127.0325914,37.499131,강남구 ,"71,373",고정석 ,1,1,1,6785.766723,1.20315692,0.136508539,0.106641287,1.161016638,119,0,26,5,0
,286000,카페24신당)공용사무실(프리미엄),서울특별시 중구 퇴계로 450,127.0215295,37.56530357,중구 ,"60,957",고정석 ,6,1,6,6789.250602,1.703972218,0.007026751,0.276079482,0.399326553,141,0,7,11,4
,650000,슈가맨워크 가산디지털점 2인실창측,서울특별시 금천구 서부샛길 606,126.8765153,37.47935571,금천구 ,"32,472",고정석 ,5,1,1,6777.189925,1.722936092,0.241978592,0.472357738,0.902906004,72,0,5,3,2
,385000,[강남]카페24창업센터 큐브점,서울특별시 강남구 논현동 236-14,127.0361031,37.50850761,강남구 ,"71,373",고정석 ,84,1,4,6786.501214,0.80011181,0.053919121,0.087624552,0.815730759,83,1,19,7,1
,200000,지니스페이스,서울특별시 강서구 마곡서로 152,126.8256453,37.56771134,강서구 ,"38,524",고정석/자유석,4,1,4,6780.121256,2.29940511,0.063945905,0.042102018,1.7311144,77,0,3,3,0
20000,240000,[세컨드라이브러리] 코워킹라운지,서울특별시 강남구 청담동 68-16,127.0549379,37.52201462,강남구 ,"71,373",자유석 ,32,1,32,6788.212436,2.429656881,0.051386433,0.169519363,0.654173367,42,0,10,3,3
,385000,소호114 영등포구청 소호사무실,서울특별시 영등포구 양산로 53,126.8889223,37.52563181,영등포구,"42,589",고정석 ,2,1,2,6780.571798,2.898693186,0.036487716,0.409202476,0.387484625,92,0,2,6,2
,350000,Campus D 오피스,서울특별시 영등포구 양평로21길 20,126.8924194,37.5365212,영등포구,"42,589",고정석 ,18,1,4,6781.395021,3.654627057,0.111209404,0.247955732,0.591559691,72,0,4,3,1
,165000,일하고 싶은 사무실,서울특별시 금천구 가산디지털1로 142,126.8833587,37.47840464,금천구 ,"32,472",고정석 ,8,1,3,6777.455532,2.28737121,0.066228201,0.086436012,0.159414095,129,0,7,3,9
,400000,NOLABOR 노라보,서울특별시 강남구 언주로130길 13,127.0365773,37.51513454,강남구 ,"71,373",고정석/자유석,58,1,58,6786.925206,0.633493374,0.027286494,0.092749978,0.926168721,76,1,18,8,2
,850000,슈가맨워크 가산디지털점 4인실,서울특별시 금천구 서부샛길 606,126.8765153,37.47935571,금천구 ,"32,472",고정석 ,1,1,4,6777.189925,1.722936092,0.241978592,0.472357738,0.902906004,72,0,5,3,2
,385000,클리워크 마곡점 - 1인실,서울특별시 강서구 마곡중앙로 161-8,126.8271135,37.56892986,강서구 ,"38,524",고정석 ,5,1,5,6780.264163,2.204292381,0.10634518,0.140641182,1.604669173,66,0,4,3,0
,200000,목동 현대41타워 오피스쉐어,서울특별시 양천구 목동동로 293,126.8674302,37.53979897,양천구 ,"26,126",고정석 ,2,1,2,6780.411571,1.592313153,0.155951278,0.574045881,0.912320539,83,0,6,3,1
,1617000,[6인실]선릉 공유오피스 더공간,서울특별시 강남구 테헤란로70길 14-10,127.0527282,37.50436581,강남구 ,"71,373",고정석 ,6,1,6,6787.038012,2.559830701,0.18298686,0.173888662,0.16280878,85,0,21,6,9
4000,150000,사생활,서울특별시 관악구 신사로14길 19,126.9165182,37.48779051,관악구 ,"26,105",자유석 ,30,1,6,6779.589003,4.385370392,0.139964004,0.828421793,0.958208295,126,0,1,2,1
