일별가격,월별가격,공유오피스명,주소 ,좌석타입,재고,최소 수용가능인원,최대 수용가능인원
"12,000","130,000",크리에이터스 데스크,서울특별시 동대문구 안암로 86-1 ,고정석/자유석,37,1,37
"22,000","385,000",마이워크스페이스 3호점 -지정석,서울특별시 서초구 서초동 1328-3,고정석 ,12,1,8
,"154,000",ORGN,서울특별시 성동구 성수동1가 656-821,고정석 ,6,1,6
,"165,000",비즈센트럴 -1인고정석,서울특별시 영등포구 영신로38길 18,고정석 ,12,1,1
"16,500","165,000",서촌 약수터 1인 작업 테이블,서울특별시 종로구 자하문로  53-1 ,고정석/자유석,5,1,4
,"275,000",비욘드스페이스 망우점,서울특별시 중랑구 봉우재로 232,고정석/자유석,15,1,4
,"750,000",슈가맨워크 가산디지털점 3인실,서울특별시 금천구 서부샛길 606,고정석 ,1,1,3
,"400,000",강남선릉  이랜서 코워킹스페이스,서울특별시 강남구 테헤란로 410,고정석 ,153,1,153
"22,000","275,000",문화정원 코워킹스페이스,서울특별시 금천구 가산로 61,고정석 ,35,1,35
,"300,000",구로디지털밸리 고정석,서울특별시 구로구 디지털로33길 48,고정석 ,10,1,6
,"330,000",넥스트데이 서초 공유오피스 자유석,서울특별시 서초구 반포대로28길 94,자유석 ,1,1,1
,"275,000",[동일]가산디지털단지 1인 지정석,서울특별시 금천구 가산디지털1로 128,고정석 ,10,1,10
,"275,000",카페24창업센터 가산점 공동실,서울특별시 금천구 서부샛길 606,고정석 ,30,1,1
"9,900","99,000",하우투비즈센터(여의도),서울특별시 영등포구 국회대로72길 4,자유석 ,40,1,5
,"220,000",[첫달반값] 도마랑,서울특별시 영등포구 당산로54길 26,고정석 ,12,1,2
,"333,000",슈퍼에그 코워킹 무제한회원,서울특별시 종로구 삼봉로 57,고정석 ,35,1,15
,"187,000",CTC 여의도,서울특별시 영등포구 63로 40,고정석 ,4,1,2
,"88,000",한피스 공릉점 1인석,서울특별시 노원구 동일로184길 35,고정석 ,4,1,1
,"187,000",비즈웨이마포 코워킹스페이스,서울특별시 마포구 마포대로 49,자유석 ,5,1,3
,"297,000",카페24창업센터 성수점 공동실,서울특별시 성동구 아차산로7길 21,고정석 ,1,1,1
,"220,000",사당 트그 공유오피스-고정석,서울특별시 관악구 낙성대역4길 3,고정석 ,5,1,5
,"190,000",힙덱 HipDeck,서울특별시 성동구 마조로 33,자유석 ,80,1,80
,"600,000",[GARAGE강남점]1인독립오피스,서울특별시 강남구 테헤란로 128,고정석 ,1,1,1
,"286,000",카페24신당)공용사무실(프리미엄),서울특별시 중구 퇴계로 450,고정석 ,6,1,6
,"650,000",슈가맨워크 가산디지털점 2인실창측,서울특별시 금천구 서부샛길 606,고정석 ,5,1,1
,"385,000",[강남]카페24창업센터 큐브점,서울특별시 강남구 논현동 236-14,고정석 ,84,1,4
,"200,000",지니스페이스,서울특별시 강서구 마곡서로 152,고정석/자유석,4,1,4
"20,000","240,000",[세컨드라이브러리] 코워킹라운지,서울특별시 강남구 청담동 68-16,자유석 ,32,1,32
,"385,000",소호114 영등포구청 소호사무실,서울특별시 영등포구 양산로 53,고정석 ,2,1,2
,"350,000",Campus D 오피스,서울특별시 영등포구 양평로21길 20,고정석 ,18,1,4
,"165,000",일하고 싶은 사무실,서울특별시 금천구 가산디지털1로 142,고정석 ,8,1,3
,"400,000",NOLABOR 노라보,서울특별시 강남구 언주로130길 13,고정석/자유석,58,1,58
,"850,000",슈가맨워크 가산디지털점 4인실,서울특별시 금천구 서부샛길 606,고정석 ,1,1,4
,"385,000",클리워크 마곡점 - 1인실,서울특별시 강서구 마곡중앙로 161-8,고정석 ,5,1,5
,"200,000",목동 현대41타워 오피스쉐어,서울특별시 양천구 목동동로 293,고정석 ,2,1,2
,"1,617,000",[6인실]선릉 공유오피스 더공간,서울특별시 강남구 테헤란로70길 14-10,고정석 ,6,1,6
"4,000","150,000",사생활,서울특별시 관악구 신사로14길 19,자유석 ,30,1,6
,"220,000"," 명동 코워킹스페이스, 바이한",서울특별시 중구 회현동1가 208,자유석 ,8,1,8
"10,000","110,000",한승공간 구로코워킹스페이스 2인실,서울특별시 구로구 구로동 197-10,고정석/자유석,10,1,10
,"165,000",클리워크 삼성점 - 오픈데스크,서울특별시 강남구 테헤란로98길 8,자유석 ,6,1,4
,"247,500",비욘드스페이스 신내점,서울특별시 중랑구 봉화산로 217,고정석/자유석,15,1,10
,"275,000",위오피스 4인실 공유 1인석,서울특별시 종로구 창신동 328-18,고정석 ,1,1,1
,"209,000",카페24창업센터 성수 비지정좌석,서울특별시 성동구 아차산로7길 21,자유석 ,1,1,1
,"220,000",카페24창업센터암사점 6인실공용,서울특별시 강동구 암사동 463-1,고정석 ,6,1,1
"10,000","200,000", 디마르가리따 예술 오피스 ,서울특별시 서초구 효령로 202,고정석/자유석,6,1,6
,"400,000",HJ 청담 디자인 소호 사무실,서울특별시 강남구 청담동 122-10,고정석 ,6,6,6
,"200,000",로그램 스튜디오,서울특별시 용산구 신흥로18길 4,자유석 ,4,1,4
,"214,500",리얼라이즈 공유사무실,서울특별시 성동구 연무장5길 18,고정석 ,14,1,14
"22,000","220,000",KOTE Lab (코트랩),서울특별시 종로구 인사동길 7,고정석/자유석,70,1,100
,"220,000",알프레드프렌즈,서울특별시 강남구 도곡동 448-1,고정석 ,17,1,4
,"352,000",CEO SUITE 광화문 코워킹,서울특별시 종로구 종로1가 1,자유석 ,18,1,1
"10,000","250,000",토즈 모임센터 [서울대입구역점],서울특별시 관악구 남부순환로 1808,자유석 ,6,1,3
,"330,000",카페24 성신여대점(1좌석),서울특별시 성북구 동선동2가 120,고정석 ,1,1,1
,"350,000",슈가맨워크 가산디지털점 1인실내측,서울특별시 금천구 서부샛길 606,고정석 ,5,1,1
,"250,000",카페24창업센터 홍대점 공용실,서울특별시 마포구 상수동 141-1,고정석 ,7,1,7
,"220,000",뷰랩 코워킹스페이스 자유석,서울특별시 강남구 언주로172길 53,고정석/자유석,20,1,20
"10,000","110,000",한승공간 역삼코워킹스페이스 2인실,서울특별시 강남구 역삼동 736-32,고정석/자유석,10,1,10
,"110,000",비즈센트럴-1인자유석,서울특별시 영등포구 영신로38길 18,자유석 ,4,1,1
,"385,000",밴타고 서비스드 오피스 핫데스크,서울특별시 종로구 종로5길 7,자유석 ,14,1,14
"22,000","385,000",마이워크스페이스 3호점 -지정석,서울특별시 서초구 서초동 1328-3,고정석 ,8,1,8
,"385,000",소호114 영등포 비즈니스센터2인,서울특별시 영등포구 양산로 53,고정석/자유석,2,1,2
,"275,000",워크앤리브 지정석,서울특별시 서초구 청계산로 211,고정석 ,2,1,1
,"440,000",Webiz 역삼점 2인실(1인석),서울특별시 강남구 테헤란로20길 10,고정석 ,2,1,1
,"198,000",이에스(ES) 교대 코워킹스페이스,서울특별시 서초구 서초대로55길 17,고정석 ,2,1,1
,"750,000",구로소호사무실 5-6인실,서울특별시 구로구 디지털로31길 41,고정석 ,5,3,3
